"character" "dialogue"
"519" "EMPEROR" "Ah, yes, a Jedi's weapon. Much like your father's. By now you must know your father can never be turned from the dark side. So will it be with you."
"520" "LUKE" "You're wrong. Soon I'll be dead...and you with me."
"521" "EMPEROR" "Perhaps you refer to the imminent attack of your Rebel fleet."
"522" "EMPEROR" "Yes...I assure you we are quite safe from your friends here."
"523" "LUKE" "Your overconfidence is your weakness."
"524" "EMPEROR" "Your faith in your friends is yours."
"525" "VADER" "It is pointless to resist, my son."
"526" "EMPEROR" "Everything that has transpired has done so according to my design.  Your friends up there on the Sanctuary Moon..."
"527" "EMPEROR" "...are walking into a trap. As is your Rebel fleet! It was I who allowed the Alliance to know the location of the shield generator. It is quite safe from your pitiful little band. An entire legion of my best troops awaits them."
"528" "EMPEROR" "Oh...I'm afraid the deflector shield will be quite operational when your friends arrive."
"529" "HAN" "All right! Up! Move! Come on! Quickly! Quickly, Chewie."
"530" "LEIA" "Han! Hurry! The fleet will be here any moment."
"531" "HAN" "Charges!  Come on, come on!"
"532" "THREEPIO" "Oh, my! They'll be captured!"
"533" "THREEPIO" "Wa-wait! Wait, come back! Artoo, stay with me."
"534" "COMMANDER" "Freeze! You Rebel scum."
"535" "LANDO" "All wings report in."
"536" "WEDGE" "Red Leader standing by."
"537" "GRAY LEADER" "Gray Leader standing by."
"538" "GREEN LEADER" "Green Leader standing by."
"539" "WEDGE" "Lock S-foils in attack positions."
"540" "ACKBAR" "May the Force be with us."
"541" "LANDO" "We've got to be able to get some kind of a reading on that shield, up or down. Well, how could they be jamming us if they don't know if we're coming."
"542" "LANDO" "Break off the attack! The shield is still up."
"543" "RED LEADER" "I get no reading. Are you sure?"
"544" "LANDO" "Pull up! All craft pull up!"
"545" "ACKBAR" "Take evasive action! Green Group, stick close to holding sector MV-7."
"546" "CONTROLLER" "Admiral, we have enemy ships in sector 47."
"547" "ACKBAR" "It's a trap!"
"548" "LANDO" "Fighters coming in."
"549" "REBEL PILOT" "There's too many of them!"
"550" "LANDO" "Accelerate to attack speed! Draw their fire away from the cruisers."
"551" "WEDGE" "Copy, Gold Leader."
"552" "EMPEROR" "Come, boy. See for yourself."
"553" "EMPEROR" "From here you will witness the final destruction of the Alliance, and the end of your insignificant Rebellion."
"554" "EMPEROR" "You want this, don't you? The hate is swelling in you now. Take your Jedi weapon. Use it. I am unarmed. Strike me down with it. Give in to your anger. With each passing moment, you make yourself more my servant."
"555" "LUKE" "No!"
"556" "EMPEROR" "It is unavoidable. It is your destiny. You, like your father, are now mine!"
"557" "STORMTROOPER" "All right, move it! I said move it! Go on!"
"558" "THREEPIO" "Hello! I say, over there! Were you looking for me?"
"559" "BUNKER COMMANDER" "Bring those two down here!"
"560" "STORMTROOPER" "Let's go!"
"561" "THREEPIO" "Well, they're on their way. Artoo, are you sure this was a good idea?"
"562" "STORMTROOPER" "Freeze! Don't move!"
"563" "THREEPIO" "We surrender."
"564" "THREEPIO" "Ohhh! Stand back, Artoo."
"565" "LEIA" "The code's changed. We need Artoo!"
"566" "HAN" "Here's the terminal."
"567" "LEIA" "Artoo, where are you? We need you at the bunker right away."
"568" "THREEPIO" "Going? What do you mean, you're going. But-- but going where, Artoo? No, what! Artoo! Oh, this is no time for heroics. Come back!"
"569" "LANDO" "Watch yourself, Wedge! Three from above!"
"570" "WEDGE" "Red Three, Red Two, pull in!"
"571" "RED TWO" "Got it!"
"572" "RED THREE" "Three of them coming in, twenty degrees!"
"573" "WEDGE" "Cut to the left! I'll take the leader! They're heading for the medical frigate."
"574" "NAVIGATOR" "Pressure's steady."
"575" "LANDO" "Only the fighters are attacking.  I wonder what those Star Destroyers are waiting for."
"576" "COMMANDER" "We're in attack position now, sir."
"577" "PIETT" "Hold here."
"578" "COMMANDER" "We're not going to attack?"
"579" "PIETT" "I have my orders from the Emperor himself. He has something special planned for them. We only need to keep them from escaping."
"580" "EMPEROR" "As you can see, my young apprentice, your friends have failed. Now witness the firepower of this fully armed and operational battle station.  Fire at will, Commander."
"581" "JERJERROD" "Fire!"
"582" "LANDO" "That blast came from the Death Star! That thing's operational!  Home One, this is Gold Leader."
"583" "ACKBAR" "We saw it. All craft prepare to retreat."
"584" "LANDO" "You won't get another chance at this, Admiral."
"585" "ACKBAR" "We have no choice, General Calrissian. Our cruisers can't repel firepower of that magnitude."
"586" "LANDO" "Han will have that shield down. We've got to give him more time."
"587" "THREEPIO" "We're coming!"
"588" "HAN" "Come on! Come on!"
"589" "THREEPIO" "Oh, Artoo, hurry!"
"590" "THREEPIO" "My goodness! Artoo, why did you have to be so brave?"
"591" "HAN" "Well, I suppose I could hotwire this thing."
"592" "LEIA" "I'll cover you."
"593" "LANDO" "Yes! I said closer! Move as close as you can and engage those Star Destroyers at point- blank range."
"594" "ACKBAR" "At that close range, we won't last long against those Star Destroyers."
"595" "LANDO" "We'll last longer then we will against that Death Star...and we might just take a few of them with us."
"596" "REBEL PILOT" "She's gonna blow!"
"597" "Y-WING PILOT" "I'm hit!"
"598" "EMPEROR" "Your fleet has lost. And your friends on the Endor moon will not survive. There is no escape, my young apprentice. The Alliance will die...as will your friends."
"599" "EMPEROR" "Good. I can feel your anger. I am defenseless.  Take your weapon! Strike me down with all your hatred, and your journey towards the dark side will be complete."
"600" "WALKER PILOT #1" "Look!"
"601" "PILOT #2" "Get him off of there!"
"602" "HAN" "I think I got it. I got it!"
"603" "THREEPIO" "Oh, Princess Leia, are you all right?"
"604" "HAN" "Let's see."
"605" "LEIA" "It's not bad."
"606" "STORMTROOPER" "Freeze!"
"607" "THREEPIO" "Oh, dear."
"608" "STORMTROOPER" "Don't move!"
"609" "HAN" "I love you."
"610" "LEIA" "I know."
"611" "STORMTROOPER" "Hands up! Stand up!"
"612" "HAN" "Stay back."
"613" "HAN" "Chewie!  Get down here!  She's wounded!  No, wait....  I got an idea."
"614" "EMPEROR" "Good.  Use your aggressive feelings, boy!  Let the hate flow through you."
"615" "VADER" "Obi-Wan has taught you well."
"616" "LUKE" "I will not fight you, father."
"617" "VADER" "You are unwise to lower your defenses."
"618" "LUKE" "Your thoughts betray you, father. I feel the good in you...the conflict."
"619" "VADER" "There is no conflict."
"620" "LUKE" "You couldn't bring yourself to kill me before, and I don't believe you'll destroy me now."
"621" "VADER" "You underestimate the power of the dark side. If you will not fight, then you will meet your destiny."
"622" "EMPEROR" "Good.  Good."
"623" "LANDO" "Watch out. Squad at .06."
"624" "REBEL PILOT" "I'm on it, Gold Leader."
"625" "WEDGE" "Good shot, Red Two."
"626" "LANDO" "Now...come on, Han, old buddy. Don't let me down."
"627" "HAN/PILOT" "It's over, Commander. The Rebels have been routed. They're fleeing into the woods. We need reinforcements to continue the pursuit."
"628" "CONTROL ROOM COMMANDER" "Send three squads to help. Open the back door."
"629" "SECOND COMMANDER" "Yes, sir."
"630" "HAN" "Throw me another charge."
"631" "VADER" "You cannot hide forever, Luke."
"632" "LUKE" "I will not fight you."
"633" "VADER" "Give yourself to the dark side. It is the only way you can save your friends. Yes, your thoughts betray you. Your feelings for them are strong. Especially for..."
"634" "VADER" "Sister! So...you have a twin sister. Your feelings have now betrayed her, too. Obi-Wan was wise to hide her from me. Now his failure is complete. If you will not turn to the dark side, then perhaps she will."
"635" "LUKE" "Never-r-r!"
"636" "EMPEROR" "Good! Your hate has made you powerful. Now, fulfill your destiny and take your father's place at my side!"
"637" "LUKE" "Never! I'll never turn to the dark side. You've failed, Your Highness. I am a Jedi, like my father before me."
"638" "EMPEROR" "So be it...Jedi."
"639" "HAN" "Move! Move!"
"640" "ACKBAR" "The shield is down! Commence attack on the Death Star's main reactor."
"641" "LANDO" "We're on our way. Red Group, Gold Group, all fighters follow me.  Told you they'd do it!"
"642" "EMPEROR" "If you will not be turned, you will be destroyed."
"643" "EMPEROR" "Young fool...only now, at the end, do you understand."
"644" "EMPEROR" "Your feeble skills are no match for the power of the dark side. You have paid the price for your lack of vision."
"645" "LUKE" "Father, please. Help me."
"646" "EMPEROR" "Now, young Skywalker...you will die."
"647" "WEDGE" "I'm going in."
"648" "LANDO" "Here goes nothing."
"649" "LANDO" "Now lock onto the strongest power source. It should be the power generator."
"650" "WEDGE" "Form up. And stay alert. We could run out of space real fast."
"651" "LANDO" "Split up and head back to the surface. See if you can get a few of those TIE fighters to follow you."
"652" "PILOT" "Copy, Gold Leader."
"653" "LANDO" "That was too close."
"654" "ACKBAR" "We've got to give those fighters more time. Concentrate all fire on that Super Star Destroyer."
"655" "CONTROLLER" "Sir, we've lost our bridge deflector shield."
"656" "PIETT" "Intensify the forward batteries. I don't want anything to get through."
"657" "PIETT" "Intensify forward firepower!"
"658" "COMMANDER" "It's too late!"
"659" "VADER" "Luke, help me take this mask off."
"660" "LURE" "But you'll die."
"661" "VADER" "Nothing can stop that now. Just for once... let me look on you with my own eyes."
"662" "ANAKIN" "Now...go, my son. Leave me."
"663" "LUKE" "No. You're coming with me. I can't leave you here. I've got to save you."
"664" "ANAKIN" "You already have, Luke. You were right about me. Tell your sister...you were right."
"665" "LUKE" "Father... I won't leave you."
"666" "WEDGE" "There it is!"
"667" "LANDO" "All right, Wedge. Go for the power regulator on the north tower."
"668" "WEDGE" "Copy, Gold Leader. I'm already on my way out."
"669" "ACKBAR" "Move the fleet away from the Death Star."
"670" "LANDO" "Wedge, I don't think we're going to make it."
"671" "WEDGE" "You'll make it. Just follow me Gold Leader."
"672" "LANDO" "I promised to return his ship without a scratch...I sure hope that old pirate forgives me."
"673" "HAN" "Lando..."
"674" "THREEPIO" "They did it!"
